UNIDADE DA FEDERACAO / REGIAO,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
NORTE,"  2.160,0 ","  2.410,0 ","  2.720,0 ","  1.980,0 ","  2.102,0 ","  1.543,0 ","  1.748,0 ","  2.109,0 ","  1.775,0 ","  2.597,6 ","  1.612,3 ","  1.534,0 ","  1.478,7 ","  1.546,0 ","  1.740,5 ","  1.642,0 ","  1.952,1 ","  1.978,3 ","  2.198,7 ","  2.444,9 ","  2.338,3 ","  2.800,5 ","  3.054,3 ","  2.558,7 "
RO,"  1.910,0 ","  2.100,0 ","  2.500,0 ","  1.760,0 ","  1.772,0 ","  1.263,0 ","  1.482,0 ","  1.876,0 ","  1.547,0 ","  2.369,0 ","  1.428,3 ","  1.367,0 ","  1.357,0 ","  1.477,3 ","  1.723,9 ","  1.626,9 ","  1.938,2 ","  1.978,3 ","  2.198,7 ","  2.444,9 ","  2.263,1 ","  2.800,5 ","  3.041,4 ","  2.543,9 "
AM,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,"  6,0 ","  7,5 ",  - ,  - ,  - ,"  75,2 ",  - ,"  12,9 ","  14,8 "
PA,"  250,0 ","  310,0 ","  220,0 ","  220,0 ","  330,0 ","  280,0 ","  266,0 ","  233,0 ","  228,0 ","  228,6 ","  184,0 ","  167,0 ","  121,7 ","  68,7 ","  16,6 ","  9,1 ","  6,4 ",  - ,  - ,  - ,  - ,  - ,  - , - 
NORDESTE,"  2.190,0 ","  2.300,0 ","  1.780,0 ","  2.279,0 ","  1.812,0 ","  2.251,0 ","  2.342,0 ","  2.141,0 ","  1.873,5 ","  2.292,7 ","  2.290,0 ","  2.149,6 ","  1.803,3 ","  2.371,3 ","  2.345,7 ","  2.093,3 ","  3.358,0 ","  4.550,2 ","  3.000,0 ","  3.986,7 ","  3.469,0 ","  3.603,5 ","  3.396,7 ","  3.097,9 "
BA,"  2.190,0 ","  2.300,0 ","  1.780,0 ","  2.279,0 ","  1.812,0 ","  2.251,0 ","  2.342,0 ","  2.141,0 ","  1.873,5 ","  2.292,7 ","  2.290,0 ","  2.149,6 ","  1.803,3 ","  2.371,3 ","  2.345,7 ","  2.093,3 ","  3.358,0 ","  4.550,2 ","  3.000,0 ","  3.986,7 ","  3.469,0 ","  3.603,5 ","  3.396,7 ","  3.097,9 "
Cerrado,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,"  436,0 ","  485,5 ","  429,0 ","  527,7 ","  398,8 ","  435,1 ","  337,8 ","  345,6 ","  288,0 ","  497,2 ","  300,0 ","  350,0 ","  250,0 ","  279,5 ","  205,0 ","  220,0 "
Planalto,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,"  895,5 ","  1.242,4 ","  1.119,9 ","  808,8 ","  681,1 ","  896,2 ","  824,3 ","  921,6 ","  690,0 ","  1.383,0 ","  900,0 ","  1.516,7 ","  979,0 ","  991,0 ","  902,6 ","  893,2 "
Atlântico,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,"  542,0 ","  564,8 ","  741,1 ","  813,1 ","  723,4 ","  1.040,0 ","  1.183,6 ","  826,1 ","  2.380,0 ","  2.670,0 ","  1.800,0 ","  2.120,0 ","  2.240,0 ","  2.333,0 ","  2.289,1 ","  1.984,7 "
CENTRO-OESTE,"  350,0 ","  490,0 ","  430,0 ","  310,0 ","  310,0 ","  250,0 ","  153,0 ","  138,0 ","  141,0 ","  203,1 ","  137,8 ","  371,5 ","  437,0 ","  402,4 ","  354,1 ","  352,2 ","  281,7 ","  299,6 ","  370,7 ","  406,2 ","  428,8 ","  505,6 ","  462,1 ","  523,4 "
MT,"  350,0 ","  490,0 ","  430,0 ","  310,0 ","  310,0 ","  250,0 ","  153,0 ","  138,0 ","  141,0 ","  203,1 ","  137,8 ","  124,1 ","  171,5 ","  165,8 ","  127,9 ","  125,4 ","  91,5 ","  104,2 ","  121,4 ","  158,4 ","  194,2 ","  227,9 ","  260,3 ","  270,9 "
GO,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,"  247,4 ","  265,5 ","  236,6 ","  226,2 ","  226,8 ","  190,2 ","  195,4 ","  249,3 ","  247,8 ","  234,6 ","  277,7 ","  201,8 ","  252,5 "
SUDESTE,"  25.920,0 ","  40.520,0 ","  21.600,0 ","  31.702,0 ","  26.810,0 ","  35.730,0 ","  29.692,0 ","  38.497,4 ","  33.773,4 ","  40.214,1 ","  37.125,5 ","  45.064,8 ","  43.648,1 ","  40.330,9 ","  37.376,4 ","  46.069,9 ","  38.071,1 ","  53.747,7 ","  42.636,1 ","  55.156,8 ","  40.524,5 ","  43.362,4 ","  47.356,6 ","  47.854,7 "
MG,"  14.690,0 ","  25.140,0 ","  12.050,0 ","  18.777,0 ","  15.219,0 ","  21.987,0 ","  16.473,0 ","  23.581,0 ","  19.880,0 ","  25.155,0 ","  22.181,0 ","  26.944,0 ","  27.660,0 ","  22.644,1 ","  22.302,9 ","  30.724,1 ","  24.445,3 ","  33.360,4 ","  24.553,6 ","  34.647,1 ","  22.142,3 ","  21.960,1 ","  29.005,9 ","  28.058,6 "
Sul e Centro-Oeste,"  7.600,0 ","  11.633,0 ","  5.360,0 ","  9.350,0 ","  6.750,0 ","  11.633,0 ","  7.266,0 ","  12.118,0 ","  9.750,0 ","  12.616,0 ","  10.442,0 ","  13.792,0 ","  13.355,0 ","  10.803,7 ","  10.808,3 ","  16.627,7 ","  13.684,2 ","  17.896,1 ","  13.978,8 ","  19.152,2 ","  11.751,9 ","  9.599,6 ","  13.513,0 ","  13.612,0 "
"Triângulo, Alto Paranaiba e Noroeste","  3.100,0 ","  5.100,0 ","  2.810,0 ","  3.847,0 ","  2.886,0 ","  4.313,0 ","  3.255,0 ","  4.534,0 ","  3.859,0 ","  5.652,0 ","  4.001,0 ","  6.231,0 ","  5.213,0 ","  5.765,5 ","  4.232,9 ","  7.401,6 ","  3.658,3 ","  7.138,0 ","  4.591,9 ","  6.000,8 ","  4.777,5 ","  4.198,5 ","  7.588,6 ","  5.324,4 "
"Zona da Mata, Rio Doce e Central","  3.990,0 ","  6.840,0 ","  3.880,0 ","  5.580,0 ","  5.583,0 ","  5.631,0 ","  5.952,0 ","  6.929,0 ","  6.271,0 ","  6.887,0 ","  7.738,0 ","  6.921,0 ","  8.315,0 ","  5.304,8 ","  6.609,5 ","  6.081,9 ","  6.481,1 ","  7.563,2 ","  5.354,2 ","  8.791,0 ","  4.919,7 ","  7.358,1 ","  7.016,8 ","  8.219,0 "
"Norte, Jequitinhonha e Mucuri",  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,"  777,0 ","  770,1 ","  652,2 ","  612,9 ","  621,7 ","  763,1 ","  628,7 ","  703,1 ","  693,2 ","  803,9 ","  887,5 ","  903,2 "
ES,"  7.550,0 ","  9.325,0 ","  6.610,0 ","  6.795,0 ","  8.070,0 ","  9.009,0 ","  10.306,0 ","  10.230,0 ","  10.205,0 ","  10.147,0 ","  11.573,0 ","  12.502,0 ","  11.697,0 ","  12.805,7 ","  10.700,0 ","  8.967,4 ","  8.865,0 ","  13.739,0 ","  13.498,0 ","  13.958,0 ","  14.166,0 ","  16.721,0 ","  13.014,0 ","  13.997,0 "
RJ,"  160,0 ","  255,0 ","  130,0 ","  260,0 ","  298,0 ","  264,0 ","  281,0 ","  266,4 ","  265,4 ","  250,1 ","  260,0 ","  262,2 ","  281,0 ","  292,3 ","  309,6 ","  347,4 ","  349,0 ","  346,0 ","  245,0 ","  371,0 ","  209,0 ","  294,3 ","  306,0 ","  354,5 "
SP,"  3.520,0 ","  5.800,0 ","  2.810,0 ","  5.870,0 ","  3.223,0 ","  4.470,0 ","  2.632,0 ","  4.420,0 ","  3.423,0 ","  4.662,0 ","  3.111,5 ","  5.356,6 ","  4.010,1 ","  4.588,8 ","  4.063,9 ","  6.031,0 ","  4.411,8 ","  6.302,3 ","  4.339,5 ","  6.180,7 ","  4.007,2 ","  4.387,0 ","  5.030,7 ","  5.444,6 "
SUL,"  540,0 ","  2.340,0 ","  1.970,0 ","  2.526,0 ","  1.435,0 ","  2.248,0 ","  1.732,0 ","  2.608,0 ","  1.467,0 ","  2.284,0 ","  1.842,0 ","  1.580,0 ","  1.650,0 ","  558,6 ","  1.290,0 ","  1.047,0 ","  1.210,0 ","  1.000,0 ","  953,0 ","  941,9 ","  876,3 ","  497,9 ","  718,5 ","  675,1 "
PR,"  540,0 ","  2.340,0 ","  1.970,0 ","  2.526,0 ","  1.435,0 ","  2.248,0 ","  1.732,0 ","  2.608,0 ","  1.467,0 ","  2.284,0 ","  1.842,0 ","  1.580,0 ","  1.650,0 ","  558,6 ","  1.290,0 ","  1.047,0 ","  1.210,0 ","  1.000,0 ","  953,0 ","  941,9 ","  876,3 ","  497,9 ","  718,5 ","  675,1 "